correlation_time,dominant_frequency,spectral_entropy,mean_abs_error,overlap_correlation,final_coherence,lindblad_rmse_full,omega,freq,noise_strength,tau_seed,n_ensemble
0.2,0.19933333333333333,2.171488657336325,0.015071031347880423,0.9930157023481767,0.9624825496744321,0.12842883860468607,1.0,3.0,0.5,4242,40
0.5,0.19933333333333333,2.2606426463583875,0.013837483560883166,0.9945302362024127,0.9011609396973601,0.2940791928936674,1.0,3.0,0.5,4242,40
1.0,0.19933333333333333,2.386190749029743,0.01363663631157503,0.9956999794625293,0.7937456311295064,0.3766109019497441,1.0,3.0,0.5,4242,40
2.0,0.19933333333333333,2.4780376141300007,0.02158604608034428,0.9750021595153195,0.6281499134406647,0.38334919658926664,1.0,3.0,0.5,4242,40
5.0,0.299,2.3617467722956547,0.04683334891444954,0.8866273370950767,0.39227794052315457,0.23063726495513343,1.0,3.0,0.5,4242,40
