model,dominant_positive_frequency,peak_frequency_1,peak_frequency_2,peak_frequency_3,spectral_entropy_nats,bandwidth_90pct_power,phase_magnitude_mean
linear_tau,0.299,0.299,0.39866666666666667,0.19933333333333333,0.5727441480712017,0.09966666666666665,1.0
oscillatory_tau,0.299,0.299,0.19933333333333333,0.49833333333333335,1.4291482844441694,0.49833333333333335,1.0
structured_tau,0.7973333333333333,0.7973333333333333,0.19933333333333333,0.299,2.0796507904525354,1.0963333333333334,1.0
multi_scale_tau,0.299,0.299,0.0,0.598,1.4953299836114162,0.598,1.0
