tau_model,dominant_frequency,spectral_entropy,bandwidth_90pct_power,mean_abs_error,overlap_correlation,final_coherence_stochastic,lindblad_rmse_full_mean_over_sigma,long_time_difference_mean_over_sigma,oscillation_residual_mean_over_sigma,decoherence_note
linear_tau,0.299,0.5727441480712017,0.09966666666666665,1.5580129778906363e-16,nan,0.45553467559516586,0.22382748866069144,0.2529762283458053,0.15701054139123508,Identical for all rows: mean over noise_strengths in stochastic_tau ensemble vs best-fit Lindblad per σ; not specific to deterministic τ families.
oscillatory_tau,0.299,1.4291482844441694,0.49833333333333335,3.1987393224805294e-05,0.9999999995166378,0.45553467559516586,0.22382748866069144,0.2529762283458053,0.15701054139123508,Identical for all rows: mean over noise_strengths in stochastic_tau ensemble vs best-fit Lindblad per σ; not specific to deterministic τ families.
structured_tau,0.7973333333333333,2.0796507904525354,1.0963333333333334,0.0011052130746083992,0.9999997255562667,0.45553467559516586,0.22382748866069144,0.2529762283458053,0.15701054139123508,Identical for all rows: mean over noise_strengths in stochastic_tau ensemble vs best-fit Lindblad per σ; not specific to deterministic τ families.
multi_scale_tau,0.299,1.4953299836114162,0.598,0.0003248103453795019,0.9999953548753342,0.45553467559516586,0.22382748866069144,0.2529762283458053,0.15701054139123508,Identical for all rows: mean over noise_strengths in stochastic_tau ensemble vs best-fit Lindblad per σ; not specific to deterministic τ families.
